"Ano","Pos","Pts","Rodada","Clube"
2006,6,114,1,"Ituano"
2006,6,76,2,"Ituano"
2006,6,63.3333333333333,3,"Guarani"
2006,6,57,4,"Paysandu"
2006,6,60.8,5,"Coritiba"
2006,6,63.3333333333333,6,"Paulista"
2006,6,59.7142857142857,7,"Gama"
2006,6,61.75,8,"Avaí"
2006,6,59.1111111111111,9,"Gama"
2006,6,57,10,"Marília"
2006,6,55.2727272727273,11,"Paysandu"
2006,6,57,12,"Ituano"
2006,6,55.5384615384615,13,"Ituano"
2006,6,57,14,"Brasiliense"
2006,6,55.7333333333333,15,"Paysandu"
2006,6,54.625,16,"CRB"
2006,6,58.1176470588235,17,"CRB"
2006,6,61.2222222222222,18,"Atlético-MG"
2006,6,58,19,"Atlético-MG"
2006,6,57,20,"Santo André"
2006,6,56.0952380952381,21,"Brasiliense"
2006,6,55.2727272727273,22,"Paysandu"
2006,6,56.1739130434783,23,"Brasiliense"
2006,6,58.5833333333333,24,"Brasiliense"
2006,6,56.24,25,"América-RN"
2006,6,58.4615384615385,26,"Brasiliense"
2006,6,56.2962962962963,27,"América-RN"
2006,6,58.3571428571429,28,"Brasiliense"
2006,6,56.3448275862069,29,"América-RN"
2006,6,57,30,"Paulista"
2006,6,57.6129032258064,31,"Coritiba"
2006,6,57,32,"Paulista"
2006,6,58.7272727272727,33,"Coritiba"
2006,6,58.1176470588235,34,"Coritiba"
2006,6,58.6285714285714,35,"Paulista"
2006,6,58.0555555555556,36,"Paulista"
2006,6,57.5135135135135,37,"Coritiba"
2006,6,59,38,"Coritiba"
2007,6,114,1,"Criciúma"
2007,6,57,2,"Vitória"
2007,6,76,3,"Fortaleza"
2007,6,66.5,4,"Gama"
2007,6,60.8,5,"Brasiliense"
2007,6,69.6666666666667,6,"Gama"
2007,6,65.1428571428571,7,"Gama"
2007,6,61.75,8,"Barueri"
2007,6,63.3333333333333,9,"Gama"
2007,6,57,10,"Ponte Preta"
2007,6,62.1818181818182,11,"Gama"
2007,6,60.1666666666667,12,"Marília"
2007,6,58.4615384615385,13,"Marília"
2007,6,57,14,"Portuguesa"
